SEGMENT,ID,STATUS,OUTSTANDING
Corporate,504,PERFORMING," 6,967,813.73 EGP "
Retail,101401,PERFORMING," 5,131,965.32 EGP "
Corporate,523,BAD LOANS," 7,506,828.97 EGP "
Corporate,555,," 47,574,353.04 EGP "
Retail,101042,BAD LOANS," 3,400,365.60 EGP "
Other,2064,BAD LOANS," 11,136,535.00 EGP "
Retail,101695,BAD LOANS," 7,279,675.74 EGP "
Corporate,465,BAD LOANS," 95,765,647.61 EGP "
Retail,100555,BAD LOANS," 9,132,678.03 EGP "
Retail,100632,PAST-DUE," 5,183,264.37 EGP "
Corporate,427,PERFORMING," 91,699,109.10 EGP "
Retail,101874,PERFORMING," 9,847,993.40 EGP "
Other,2152,PERFORMING," 21,600,121.11 EGP "
Other,2008,PAST-DUE," 10,785,848.49 EGP "
Corporate,282,PERFORMING," 27,743,718.48 EGP "
Retail,101959,BAD LOANS," 4,063,758.32 EGP "
Retail,100438,PAST-DUE," 448,531.72 EGP "
Other,2097,PERFORMING,"-3,067,529.52 EGP "
Retail,101205,PERFORMING," 3,057,980.17 EGP "
Retail,100124,BAD LOANS," 3,144,323.68 EGP "
Corporate,205,PERFORMING," 19,071,121.65 EGP "
Retail,101869,PERFORMING," 7,330,045.19 EGP "
Retail,101029,PAST-DUE," 4,753,829.78 EGP "
Retail,100851,RESTRUCTURED," 5,450,898.15 EGP "
Corporate,544,PERFORMING," 19,518,682.29 EGP "
Other,2003,PERFORMING," 10,572,728.46 EGP "
Corporate,203,PERFORMING," 95,161,356.39 EGP "
Retail,101168,RESTRUCTURED," 2,888,436.52 EGP "
Retail,100687,RESTRUCTURED," 6,400,981.18 EGP "
Retail,100278,BAD LOANS," 5,773,643.98 EGP "
Retail,101498,BAD LOANS," 8,301,166.85 EGP "
Retail,101136,PERFORMING," 6,127,236.09 EGP "
Retail,101231,PERFORMING," 5,232,783.92 EGP "
Corporate,462,BAD LOANS," 80,166,302.25 EGP "
Retail,100774,PAST-DUE," 1,701,772.54 EGP "
Corporate,487,PAST-DUE," 46,930,901.85 EGP "
Retail,100300,RESTRUCTURED," 4,319,507.41 EGP "
Other,2134,BAD LOANS," 13,289,411.45 EGP "
Retail,100150,BAD LOANS," 6,244,479.42 EGP "
Retail,100267,PAST-DUE," 5,718,537.30 EGP "
Retail,100065,RESTRUCTURED," 3,178,061.82 EGP "
Retail,100425,PERFORMING," 7,968,241.15 EGP "
Corporate,457,PAST-DUE," 68,791,595.33 EGP "
Retail,101912,PERFORMING," 8,406,403.97 EGP "
Corporate,213,PERFORMING," 3,309,257.76 EGP "
Corporate,508,PERFORMING," 17,100,131.75 EGP "
Retail,100521,BAD LOANS," 6,021,348.56 EGP "
Corporate,302,PAST-DUE," 26,110,110.71 EGP "
Retail,101828,RESTRUCTURED," 2,721,829.53 EGP "
Corporate,288,PERFORMING," 13,630,639.30 EGP "
Corporate,313,PERFORMING," 6,876,322.95 EGP "
Retail,101813,PERFORMING," 423,075.45 EGP "
Retail,101198,PERFORMING," 2,710,562.63 EGP "
Corporate,362,BAD LOANS," 69,694,729.79 EGP "
Retail,101550,RESTRUCTURED," 5,644,268.19 EGP "
Retail,100389,PERFORMING," 7,361,659.72 EGP "
Retail,100685,PAST-DUE," 7,119,606.04 EGP "
Corporate,470,RESTRUCTURED," 33,084,448.05 EGP "
Retail,100338,PAST-DUE," 3,066,441.47 EGP "
Corporate,558,PAST-DUE," 86,760,385.51 EGP "
Corporate,341,," 72,565,049.66 EGP "
Corporate,273,PERFORMING," 961,448.74 EGP "
Retail,101375,PERFORMING," 8,742,549.74 EGP "
Corporate,351,PERFORMING," 55,196,888.05 EGP "
Retail,100614,PERFORMING," 9,501,341.68 EGP "
Other,2128,BAD LOANS," 21,380,055.81 EGP "
Retail,100247,PERFORMING," 2,666,294.99 EGP "
Other,2020,PERFORMING," 17,783,954.44 EGP "
Retail,101108,BAD LOANS," 6,205,325.74 EGP "
Retail,101697,PERFORMING," 5,727,064.14 EGP "
Other,2105,PAST-DUE," 6,642,366.95 EGP "
Other,2028,PERFORMING," 4,303,880.61 EGP "
Retail,100585,RESTRUCTURED," 5,893,342.59 EGP "
Retail,101669,PAST-DUE," 1,711,511.60 EGP "
Other,2073,RESTRUCTURED," 16,264,550.84 EGP "
Retail,101149,PAST-DUE, ….. 
Retail,101428,PERFORMING," 9,881,294.41 EGP "
Retail,101619,RESTRUCTURED," 5,643,955.85 EGP "
Corporate,511,PERFORMING," 83,086,422.58 EGP "
Corporate,509,PERFORMING," 46,611,844.09 EGP "
Other,2109,PERFORMING," 19,338,853.05 EGP "
Retail,101400,PERFORMING," 9,067,665.47 EGP "
Retail,100746,PERFORMING," 6,476,591.41 EGP "
Retail,101875,PERFORMING," 8,736,281.26 EGP "
Corporate,547,PERFORMING," 7,172,305.04 EGP "
